Date,"Risk trans. per sx cnt (post. mean, no reversion)","Risk trans. per sx cnt (post. 25%, no reversion)","Risk trans. per sx cnt (post. 75%, no reversion)","Risk trans. per sx cnt (post. mean, 4wk reversion)","Risk trans. per sx cnt (post. 25%, 4wk reversion)","Risk trans. per sx cnt (post. 75%, 4wk reversion)","Risk trans. per sx cnt (post. mean, 12wk reversion)","Risk trans. per sx cnt (post. 25%, 12wk reversion)","Risk trans. per sx cnt (post. 75%, 12wk reversion)"
2022-07-11,0.18168760615612345,0.11366878852812251,0.2497064237841244,0.18168760624630226,0.11366878860321075,0.24970642388939376,0.18169558447437859,0.11367543174109901,0.24971573720765816
2022-07-12,0.1807544783562056,0.1127017659165352,0.248807190795876,0.18075447848146248,0.11270176605492917,0.2488071909079958,0.18076338010314186,0.11271160128348162,0.2488151589228021
2022-07-13,0.17956054906247607,0.11136743046331808,0.24775366766163404,0.1795605492364557,0.11136743057686599,0.24775366789604542,0.17957048111333057,0.11137391261888568,0.24776704960777546
2022-07-14,0.17885801131653056,0.11089864997136431,0.24681737266169682,0.1788580115581853,0.11089865021349184,0.24681737290287875,0.17886909291490188,0.11090975325012482,0.24682843257967896
2022-07-15,0.17785571387511986,0.1101098740524268,0.24560155369781295,0.177855714210774,0.1101098743968241,0.24560155402472392,0.17786807806405283,0.11012256030244423,0.24561359582566145
2022-07-16,0.17770232560395932,0.1101098740524268,0.24529477715549186,0.17770232607017708,0.1101098745307886,0.24529477760956556,0.177716120822548,0.11012402860740902,0.245308213037687
2022-07-17,0.17745521726718622,0.10988188576412206,0.24502854877025038,0.1774552179147545,0.10988188653289344,0.24502854929661555,0.17747060913182297,0.10990015846790338,0.24504105979574256
2022-07-18,0.17722606945891767,0.10967749132508672,0.2447746475927486,0.1772260703583787,0.10967749214019473,0.24477464857656267,0.17724324275052095,0.10969305407448805,0.24479343142655385
2022-07-19,0.17722606945891767,0.10967749132508672,0.2447746475927486,0.1772260707082533,0.10967749245725746,0.24477464895924916,0.17724523033993414,0.10969485526418793,0.24479560541568035
2022-07-20,0.17722606945891767,0.10967749132508672,0.2447746475927486,0.17722607119422296,0.109677492897652,0.24477464949079392,0.1772474479466336,0.10969686489973897,0.24479803099352826
2022-07-21,0.17722606945891767,0.10967749132508672,0.2447746475927486,0.17722607186922626,0.10967749350935228,0.24477465022910022,0.17724992218467422,0.10969910709928206,0.2448007372700664
2022-07-22,0.17722606945891767,0.10967749132508672,0.2447746475927486,0.177226072806794,0.10967749435899324,0.24477465125459477,0.17725268274623016,0.10970160877040569,0.24480375672205462
2022-07-23,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992298126350585,0.06968681147895132,0.19015915104806036,0.1299526699117436,0.06970629515834881,0.19019904466513837
2022-07-24,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992298307232925,0.06968681266602238,0.1901591534786361,0.1299561063288697,0.06970855036542406,0.19020366229231533
2022-07-25,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992298558475313,0.0696868143148432,0.19015915685466306,0.12995994038163233,0.06971106652763605,0.19020881423562863
2022-07-26,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.1299229890744657,0.06968681660502633,0.19015916154390505,0.12996421806610794,0.06971387383069069,0.1902145623015252
