Date,"R0 GBMSM (post. mean, 4wk reversion)","R0 GBMSM (post. 25%, 4wk reversion)","R0 GBMSM (post. 75%, 4wk reversion)","R0 GBMSM (post. mean, 12wk reversion)","R0 GBMSM (post. 25%, 12wk reversion)","R0 GBMSM (post. 75%, 12wk reversion)"
2023-03-21,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139330772591,4.996963189204703,8.823315472340479
2023-03-22,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139343867906,4.996963198455435,8.823315489280375
2023-03-23,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139355604721,4.996963206746505,8.823315504462936
2023-03-24,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139366123969,4.996963214177468,8.823315518070471
2023-03-25,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013937555196,4.996963220837548,8.823315530266372
2023-03-26,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139384001899,4.996963226806717,8.823315541197081
2023-03-27,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139391575247,4.996963232156648,8.823315550993847
2023-03-28,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139398362945,4.996963236951584,8.823315559774308
2023-03-29,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139404446489,4.996963241249095,8.823315567643881
2023-03-30,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394098989335,4.996963245100787,8.82331557469708
2023-03-31,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139414785746,4.996963248552908,8.823315581018583
2023-04-01,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139419165604,4.996963251646907,8.8233155866843
2023-04-02,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394230911,4.9969632544199385,8.823315591762261
2023-04-03,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139426609368,4.996963256905298,8.823315596313439
2023-04-04,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139429762654,4.996963259132828,8.82331560039248
2023-04-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013943258882,4.9969632611292765,8.823315604048364
2023-04-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139435121804,4.996963262918614,8.823315607324995
2023-04-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139437392015,4.9969632645223285,8.823315610261702
2023-04-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139439426717,4.996963265959675,8.82331561289376
2023-04-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139441250341,4.996963267247911,8.82331561525277
2023-04-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139442884785,4.9969632684025065,8.823315617367063
2023-04-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394443496735,4.996963269437326,8.823315619262022
2023-04-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139445662592,4.996963270364795,8.82331562096039
2023-04-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139446839314,4.996963271196046,8.823315622482582
2023-04-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139447893961,4.996963271941066,8.823315623846856
2023-04-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139448839201,4.996963272608799,8.823315625069604
2023-04-16,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394496863815,4.99696327320726,8.823315626165503
2023-04-17,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139450445676,4.9969632737436385,8.823315627147714
2023-04-18,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139451126204,4.996963274224372,8.823315628028036
2023-04-19,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139451736133,4.996963274655236,8.82331562881703
2023-04-20,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139452282791,4.996963275041403,8.823315629524178
2023-04-21,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139452772735,4.996963275387508,8.82331563015796
2023-04-22,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139453211856,4.99696327569771,8.823315630726
2023-04-23,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139453605419,4.996963275975731,8.823315631235108
2023-04-24,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139453958158,4.996963276224909,8.823315631691408
2023-04-25,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139454274303,4.9969632764482395,8.823315632100366
2023-04-26,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139454557651,4.9969632766484,8.823315632466901
2023-04-27,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139454811604,4.996963276827797,8.823315632795412
2023-04-28,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139455039212,4.996963276988584,8.82331563308984
2023-04-29,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139455243211,4.996963277132691,8.823315633353731
2023-04-30,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139455426046,4.996963277261848,8.823315633590244
2023-05-01,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139455589913,4.996963277377606,8.82331563380222
2023-05-02,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013945573678,4.996963277481356,8.823315633992204
2023-05-03,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139455868413,4.996963277574344,8.823315634162483
2023-05-04,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139455986391,4.996963277657684,8.823315634315097
2023-05-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456092126,4.9969632777323785,8.823315634451873
2023-05-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456186896,4.996963277799324,8.823315634574469
2023-05-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013945627183,4.996963277859326,8.823315634684334
2023-05-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456347959,4.9969632779131015,8.823315634782816
2023-05-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456416188,4.996963277961299,8.823315634871078
2023-05-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456477338,4.996963278004499,8.823315634950177
2023-05-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394565321455,4.996963278043214,8.823315635021077
2023-05-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456581266,4.996963278077914,8.823315635084619
2023-05-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394566252905,4.996963278109015,8.823315635141565
2023-05-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456664752,4.9969632781368905,8.823315635192614
2023-05-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456700115,4.996963278161872,8.823315635238359
2023-05-16,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456731814,4.996963278184262,8.823315635279366
2023-05-17,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456760221,4.996963278204331,8.82331563531611
2023-05-18,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013945678568,4.9969632782223155,8.823315635349045
2023-05-19,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456808501,4.996963278238436,8.823315635378567
2023-05-20,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456828954,4.996963278252884,8.823315635405024
2023-05-21,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394568472845,4.996963278265834,8.823315635428735
2023-05-22,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456863711,4.996963278277439,8.823315635449983
2023-05-23,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456878438,4.996963278287842,8.823315635469035
2023-05-24,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456891636,4.996963278297166,8.823315635486106
2023-05-25,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456903462,4.996963278305521,8.823315635501402
2023-05-26,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456914065,4.996963278313008,8.823315635515122
2023-05-27,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456923566,4.996963278319721,8.823315635527411
2023-05-28,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394569320815,4.996963278325737,8.823315635538426
2023-05-29,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456939714,4.996963278331128,8.8233156355483
2023-05-30,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456946555,4.99696327833596,8.823315635557151
2023-05-31,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456952684,4.996963278340291,8.823315635565077
2023-06-01,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456958181,4.9969632783441735,8.823315635572188
2023-06-02,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394569631065,4.996963278347652,8.823315635578561
2023-06-03,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013945696752,4.99696327835077,8.823315635584269
2023-06-04,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456971474,4.996963278353565,8.823315635589383
2023-06-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394569750205,4.99696327835607,8.823315635593971
2023-06-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456978198,4.996963278358313,8.823315635598084
2023-06-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456981048,4.996963278360326,8.82331563560177
2023-06-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456983599,4.996963278362129,8.82331563560507
2023-06-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456985889,4.996963278363746,8.823315635608033
2023-06-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394569879355,4.996963278365194,8.823315635610676
2023-06-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456989775,4.996963278366493,8.823315635613056
2023-06-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394569914225,4.996963278367655,8.82331563561519
2023-06-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456992898,4.996963278368698,8.823315635617098
2023-06-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456994223,4.996963278369634,8.823315635618812
2023-06-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456995406,4.996963278370471,8.823315635620341
2023-06-16,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013945699647,4.996963278371222,8.823315635621718
2023-06-17,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456997426,4.9969632783718945,8.823315635622958
2023-06-18,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101394569982775,4.9969632783724975,8.823315635624057
2023-06-19,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456999042,4.996963278373038,8.823315635625047
2023-06-20,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139456999729,4.9969632783735225,8.823315635625935
2023-06-21,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139457000343,4.996963278373958,8.823315635626729
2023-06-22,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139457000895,4.996963278374347,8.823315635627443
